Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1990","1990","tonnes","22903","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1991","1991","tonnes","27928","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1992","1992","tonnes","32954","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1993","1993","tonnes","37979","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1994","1994","tonnes","43004","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1995","1995","tonnes","48030","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1996","1996","tonnes","53055","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1997","1997","tonnes","58080","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1998","1998","tonnes","63106","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","1999","1999","tonnes","68131","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2000","2000","tonnes","81862","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2001","2001","tonnes","88359","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2002","2002","tonnes","83859","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2003","2003","tonnes","110215","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2004","2004","tonnes","124060","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2005","2005","tonnes","136853","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2006","2006","tonnes","144986","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2007","2007","tonnes","189101","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2008","2008","tonnes","185665","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2009","2009","tonnes","202554","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2010","2010","tonnes","189537","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2011","2011","tonnes","188745","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2012","2012","tonnes","214201","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2013","2013","tonnes","213244","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2014","2014","tonnes","215725","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2015","2015","tonnes","220186","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2016","2016","tonnes","234384","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2017","2017","tonnes","234384","F","FAO estimate"
"RP","Pesticides Use","21","Brazil","5157","Agricultural Use","1320","Herbicides","2018","2018","tonnes","234384","F","FAO estimate"
